algorithm,message_bytes,ber,repetition,original_bits,encoded_bits,overhead_bits,altered_bits,connection_success,valid,error_detected,error_corrected,corrected_bits,message_correct,error
HAMMING_12_8,10,0.001000,29,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,30,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,31,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,32,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,33,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,34,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,35,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,36,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,37,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,38,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,39,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,40,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,41,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,42,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,43,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,44,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,45,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,46,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,47,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,48,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,49,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,50,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,51,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,52,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,53,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,54,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,55,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,56,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,57,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,58,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,59,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,60,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,61,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,62,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,63,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,64,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,65,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,66,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,67,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,68,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,69,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,70,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,71,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,72,80,120,40,0,true,true,false,false,0,true,
