algorithm,message_bytes,ber,repetition,original_bits,encoded_bits,overhead_bits,altered_bits,connection_success,valid,error_detected,error_corrected,corrected_bits,message_correct,error
HAMMING_12_8,1000,0.001000,1,8000,12000,4000,16,true,true,true,true,16,true,
HAMMING_12_8,1000,0.001000,2,8000,12000,4000,9,true,true,true,true,9,true,
HAMMING_12_8,1000,0.001000,3,8000,12000,4000,11,true,true,true,true,11,true,
HAMMING_12_8,1000,0.001000,4,8000,12000,4000,18,true,true,true,true,18,true,
HAMMING_12_8,1000,0.001000,5,8000,12000,4000,7,true,true,true,true,7,true,
HAMMING_12_8,1000,0.001000,6,8000,12000,4000,12,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 363
HAMMING_12_8,1000,0.001000,7,8000,12000,4000,7,true,true,true,true,7,true,
HAMMING_12_8,1000,0.001000,8,8000,12000,4000,12,true,true,true,true,12,true,
HAMMING_12_8,1000,0.001000,9,8000,12000,4000,9,true,true,true,true,9,true,
HAMMING_12_8,1000,0.001000,10,8000,12000,4000,10,true,true,true,true,10,true,
HAMMING_12_8,1000,0.001000,11,8000,12000,4000,8,true,true,true,true,8,true,
HAMMING_12_8,1000,0.001000,12,8000,12000,4000,10,true,true,true,true,10,true,
HAMMING_12_8,1000,0.001000,13,8000,12000,4000,10,true,true,true,true,10,true,
HAMMING_12_8,1000,0.001000,14,8000,12000,4000,12,true,false,true,false,0,false,byte fuera de rango ASCII: 0xE1
HAMMING_12_8,1000,0.001000,15,8000,12000,4000,10,true,true,true,true,10,true,
HAMMING_12_8,1000,0.001000,16,8000,12000,4000,15,true,true,true,true,15,true,
HAMMING_12_8,1000,0.001000,17,8000,12000,4000,14,true,true,true,true,14,true,
HAMMING_12_8,1000,0.001000,18,8000,12000,4000,10,true,true,true,true,10,true,
HAMMING_12_8,1000,0.001000,19,8000,12000,4000,11,true,true,true,true,11,true,
HAMMING_12_8,1000,0.001000,20,8000,12000,4000,4,true,true,true,true,4,true,
HAMMING_12_8,1000,0.010000,1,8000,12000,4000,119,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 680
HAMMING_12_8,1000,0.010000,2,8000,12000,4000,118,true,false,true,false,0,false,síndrome Hamming inválido (15) en bloque offset 154
HAMMING_12_8,1000,0.010000,3,8000,12000,4000,115,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 389
HAMMING_12_8,1000,0.010000,4,8000,12000,4000,118,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 131
HAMMING_12_8,1000,0.010000,5,8000,12000,4000,117,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 324
HAMMING_12_8,1000,0.010000,6,8000,12000,4000,115,true,true,true,true,109,false,
HAMMING_12_8,1000,0.010000,7,8000,12000,4000,128,true,false,true,false,0,false,síndrome Hamming inválido (14) en bloque offset 619
HAMMING_12_8,1000,0.010000,8,8000,12000,4000,123,true,false,true,false,0,false,byte fuera de rango ASCII: 0xE7
HAMMING_12_8,1000,0.010000,9,8000,12000,4000,137,true,false,true,false,0,false,síndrome Hamming inválido (13) en bloque offset 899
HAMMING_12_8,1000,0.010000,10,8000,12000,4000,99,true,true,true,true,97,false,
